Href,Name,Reviews,Href Reviews,Min progect size,Company Size,City,Clients,Notable Project,Clients summary,Scheduling,Quality,Cost,NPS,cluster,cluster_DBSCAN
http://dataforest.ai/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,DATAFOREST,19,https://clutch.co/profile/dataforest?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,10000,150,Kyiv,"AM Trading, IDN, Columb Trade, Unilever, BSG,Deeplegal, Little Giant Marketing, .",An automotive standardization organization hired DATAFOREST to extend an existing script for UML data extraction. The team worked on a Python script that extracts data from XML files into AsciiDoc files.,"Dataforest is a data science and web development agency based in Kyiv, Ukraine with an office in New York. Their team of 10 has offered services in BI & big data consulting & SI, custom software development, and web development to small and midmarket businesses since their founding in 2018. They are proficient in multiple frameworks, including Django, ReactJS, and WordPress, and use languages such as Python, JavaScript, and Visual Basic.",4.9,4.9,4.9,5.0,0,0
https://www.n-ix.com/team-extension/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,N-iX,31,https://clutch.co/profile/n-ix?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,100000,5500,L'viv,"Fortune 500 companies, Bosch, Siemens, Ebay",N-iX provides ongoing staff augmentation services for an agricultural software company. The team has found development resources to join the client's team and expand the functionality of their data warehouses.,"N-iX is a global software solutions and engineering services company that helps the world’s leading organizations turn challenges into lasting business value,  operational efficiency,  and revenue growth using modern technology. With over 2,000 professionals in 25 countries across Europe and the Americas, N-iX offers expert solutions in cloud, data analytics, embedded software, IoT, AI, machine learning, and other tech domains. Being in business for over two decades, we have worked with dozens of industry-leading enterprises and Fortune 500 companies, creating value across a wide variety of sectors, including finance, manufacturing, supply chain, retail, and more.",4.8,4.7,4.3,5.0,2,-1
https://cobit-solutions.com/en/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,Cobit Solutions,10,https://clutch.co/profile/cobit-solutions?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,5000,30,Kyiv,"Tehnomart, Alfa Insurance, Dobrobut, Meest China","Cobit Solutions has implemented Power BI for a digital marketing and design agency. They've also developed four dashboards for different departments, importing data from the client's CRM, ERP, and API systems.","Cobit Solutions is a business intelligence company with a deep expertise in Power BI, Azure, SSIS, SSAS, ETL, DWH. Based in US Colorado and Kyiv, Ukraine offices. Launched in 2018, a team has successful projects with companies in 22 industries. Their services include turn-key projects and outstaffing data analysts, developers and dedicated teams. Their advantage is a combination of strong IT skills with a profound understanding of business processes and corporate finances.",5.0,5.0,5.0,5.0,0,0
https://mighty.digital/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,Mighty Digital,9,https://clutch.co/profile/mighty-digital?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,25000,30,Kyiv,"Spin, Uproad, Feastly, Rarible","Mighty Digital has been hired by an NFT marketplace to build data collection and BI tools. They initially had a planning stage, finalizing the use of tools like Segment, Amplitude, Fivetran, and BQ.","Mighty Digital is a mobile application development firm. The Kyiv, Ukraine-based company was established in 2017. The small team specializes in mobile app development, BI & big data consulting & SI, mobile & app marketing, conversion optimization, and more.",5.0,5.0,5.0,5.0,0,0
https://diceus.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,DICEUS,47,https://clutch.co/profile/diceus?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,10000,150,Kyiv,"UNIQA, Willis Towers Watson, Fadata, Bank al Etihad",DICEUS was hired by an internet provider to develop a mobile app. The team initially conducted research and created a detailed development plan to ensure a smooth engagement.,"Diceus is a software engineering company headquartered in Kyiv, Ukraine, with offices also in Dubai, New York, and Vilnius, Lithuania. Founded in 2011, they have about 119 employees that do web and custom software development. Clients are mostly small and midmarket businesses in the real estate, healtchare, financial services, and advertising and marketing sectors.",4.9,4.9,4.6,5.0,0,0
https://sigma.software/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,Sigma Software Group,25,https://clutch.co/profile/sigma-software?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,50000,5500,L'viv,"Volvo, Scania AB, KnorrBremse, AstraZeneca",Sigma Software Group has developed a mobile app for an equestrian training company. The app features a streaming service that horse riders can use for digital training.,"Sigma Software Group is a software development & consulting partner with headquarters in Lviv, Ukraine, and offices in the USA, Sweden, UK, Canada, Israel, Singapore, UAE, Poland, Latin America, and Portugal. Founded in 2002, the company accounts for over 2000 employees, helping clients from startups to Fortune 500 brands with software product and custom solutions delivery, digital transformation, Big Data, AI/ML, AR/VR, IoT, web & app development services.",4.8,4.7,4.2,5.0,2,-1
https://itrexgroup.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,ITRex Group,17,https://clutch.co/profile/itrex-group?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,25000,625,Kyiv,"Dollar Shave Club, Dog Vacay, Dun & Bradstreet, Ebooks",Subcontracted resources from ITRex Group augment an internal team and expedite the development of digital solutions.,"ITRex Group is a global technology consulting and custom software development company of 300+ employees, founded in 2009. Their headquarters is in Santa Monica, California, with secondary locations in Warsaw, Poland, Kyiv, Ukraine, and Tbilisi, Georgia. They have in-depth expertise in emerging technologies, including RPA & Intelligent Automation, Big Data, AI and ML, AR/VR, IoT across different industries - Healthcare and Biotech, Supply Chain, Fiance and Banking, Retail and eCommerce, and more. The company has delivered 600+ industry-specific solutions to large enterprises and middle-market companies.",4.9,4.6,4.7,4.8,0,0
https://www.ai.intelliarts.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,Intelliarts,7,https://clutch.co/profile/intelliarts?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,50000,150,L'viv,"HubSpot, Dell Technologies, EV Connect, Indigo Ag","Intelliarts provides custom software development services for a B2B consulting company. They specialize in XML, doing publishing work and developing automation or converting other formats into XML.","Intelliarts is an Eastern European technology consulting and software engineering company. Founded in 1999, the company helps businesses across the globe accelerate their pace of digital transformation and expand engineering capabilities. Having nearly 100 employees, Intelliarts provides services in technology consulting, R&D, and software engineering.",4.9,5.0,4.7,5.0,0,-1
https://symphony-solutions.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,Symphony Solutions,14,https://clutch.co/profile/symphony-solutions?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,25000,625,L'viv,"Vivino - #1 wine app/platform in the world (Danmark/USA), HPe - an American multinational enterprise information technology company Blexr - leading affiliate marketing company, , ","A public transportation company hired Symphony Solutions for application development. The team was responsible for the integration of new, flexible ticketing technologies and new account-based ticketing access.","Symphony Solutions is an IT services company based in Amsterdam, with offices in Lviv, Ukraine, Boston, Antwerpen, Belgium, Skopje, Macedonia, Krakow, Poland, and Rzeszow, Poland. Founded in 2009, their team of around 600 employees provides web development, custom software development, mobile app development, application testing, and IT managed services.",4.8,4.8,4.6,4.9,0,1
https://nn.partners/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com,NNPARTNERS,6,https://clutch.co/profile/nnpartners?utm_source=themanifest&utm_medium=profile&utm_content=2033020800000#reviews,5000,30,Dnipro,"Ronnie Coleman Signature Series, Beetronics, Learndirect, AgentFire",NNPARTNERS helps a growth mentorship company with the PPC advertising needs of their end clients. Their scope includes creating and managing Google Ads campaigns and making changes to those as needed.,"NNPARTNERS is a remote-first digital agency with roots in Ukraine. Founded in 2020, the team mostly serves midmarket clients in the e-commerce, finance, and online education sectors. Services include Google Ads, Microsoft Ads, Facebook Ads, end-to-end analytics, and data insights.",5.0,4.9,5.0,4.9,0,-1
